Latitude,Longitude,Stop Name,Stop Status
40.692469,-73.990478,JORALEMON ST/COURT ST,at stop
40.70021,-73.91153,GATES AV/WYCKOFF AV,at stop
40.690871,-73.985881,FULTON ST/HOYT ST,approaching
40.685797,-73.954235,GATES AV/BEDFORD AV,approaching
40.685554,-73.956332,GATES AV/FRANKLIN AV,approaching
40.685691,-73.956585,GATES AV/FRANKLIN AV,approaching
40.688522,-73.930547,GATES AV/MALCOLM X BL,approaching
40.686488,-73.974872,FULTON ST/S PORTLAND AV,approaching
40.688786,-73.928245,GATES AV/PATCHEN AV,approaching
40.689294,-73.923805,GATES AV/BROADWAY,approaching
40.694885,-73.916772,GATES AV/CENTRAL AV,< 1 stop away
40.691995,-73.988702,JORALEMON ST/COURT ST,< 1 stop away
40.696446,-73.915239,GATES AV/WILSON AV,< 1 stop away
40.685862,-73.973105,FULTON ST/S ELLIOTT PL,< 1 stop away
